列1,募集日,地区名,路線名,駅名,所要時間,取引価格,間取り,竣工日,敷地面積,延べ面積,建蔽率,容積率,経度,緯度,築年数,補正築年数,補正所要時間,縦横比,間取り指数
0,2019/4/1,塚崎,東武野田線,逆井,34,13800000,5LDK,198702,135,109.34,60,150,139.99606,35.83493,32.18356164,33.79273973,34.71834855,2.5,6.5
1,2019/4/1,松葉町6丁目,つくばエクスプレス,柏の葉キャンパス,24,29800000,4DK,198809,235.46,194.46,50,100,139.96803,35.89154,30.6,32.13,23.35651686,2,5
2,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,12,32800000,4LDK,201810,106.27,101.65,60,200,139.97424,35.89674,0.498630137,0.498630137,11.67825843,3.333333333,5.5
3,2019/4/1,根戸,ＪＲ常磐線,北柏,5,28980000,4LDK,201901,136.39,108.37,60,200,139.98645,35.88113,0.246575342,0.246575342,4.796116698,3.333333333,5.5
4,2019/4/1,あけぼの2丁目,ＪＲ常磐線,柏,12,33500000,2LDK,201904,70.83,88.59,60,200,139.9742,35.86803,0,0,6.09954701,3.333333333,3.5
5,2019/4/1,大室,つくばエクスプレス,柏の葉キャンパス,18,23800000,5LDK,199209,184.91,132.69,50,100,139.96175,35.91197,26.59726027,27.92712329,17.51738765,2,6.5
6,2019/4/1,十余二,ＪＲ常磐線,柏,25,23900000,4LDK,201603,116.2,103.09,60,200,139.9593,35.88263,3.084931507,3.084931507,12.7073896,3.333333333,5.5
7,2019/4/1,松ケ崎,ＪＲ常磐線,北柏,12,21900000,4LDK,200502,132.35,100.19,60,150,139.97595,35.87908,14.16986301,14.87835616,11.51068008,2.5,5.5
8,2019/4/1,松葉町6丁目,ＪＲ常磐線,北柏,4,26900000,2LDK,201812,141.85,88.59,50,100,139.96803,35.89154,0.331506849,0.331506849,3.836893359,2,3.5
9,2019/4/1,松葉町6丁目,ＪＲ常磐線,北柏,4,28900000,2LDK,201812,135.9,94.39,50,100,139.96803,35.89154,0.331506849,0.331506849,3.836893359,2,3.5
10,2019/4/1,豊四季,ＪＲ常磐線,柏,1,28800000,4LDK,201811,148.81,101.84,60,200,139.94981,35.85993,0.41369863,0.41369863,0.508295584,3.333333333,5.5
11,2019/4/1,豊四季,ＪＲ常磐線,柏,1,28800000,4LDK,201811,120.42,109.3,60,200,139.94981,35.85993,0.41369863,0.41369863,0.508295584,3.333333333,5.5
12,2019/4/1,南逆井4丁目,新京成電鉄,五香,22,19900000,4LDK,201903,120.31,120.31,50,100,139.97462,35.80325,0.084931507,0.084931507,21.5666943,2,5.5
13,2019/4/1,あかね町,ＪＲ常磐線,柏,18,15800000,4LDK,199704,110.6,85.29,50,100,139.97855,35.84998,22.01369863,23.11438356,9.149320515,2,5.5
14,2019/4/1,しいの木台4丁目,新京成電鉄,五香,24,25800000,4LDK,201803,195.87,99.37,50,100,139.97781,35.80201,1.084931507,1.084931507,23.52730288,2,5.5
