駅名,運営会社,路線名,鉄道区分,事業者種別,重複コード,データ有無コード,備考,乗降客数
柏たなか,首都圏新都市鉄道,常磐新線,12,5,1,1,,9800
柏の葉キャンパス,首都圏新都市鉄道,常磐新線,12,5,1,1,,33000
流山おおたかの森,首都圏新都市鉄道,常磐新線,12,5,1,1,,129710
北柏,東日本旅客鉄道,常磐線,11,2,1,1,,38766
北小金,東日本旅客鉄道,常磐線,11,2,1,1,,48646
我孫子,東日本旅客鉄道,常磐線,11,2,1,1,,61732
南柏,東日本旅客鉄道,常磐線,11,2,1,1,,64878
柏,東日本旅客鉄道,常磐線,11,2,1,1,,395238
元山,新京成電鉄,新京成線,12,4,1,1,,18458
常盤平,新京成電鉄,新京成線,12,4,1,1,,18934
五香,新京成電鉄,新京成線,12,4,1,1,,30125
増尾,東武鉄道,野田線,12,4,1,1,,13386
高柳,東武鉄道,野田線,12,4,1,1,,14124
逆井,東武鉄道,野田線,12,4,1,1,,14406
豊四季,東武鉄道,野田線,12,4,1,1,,15131
初石,東武鉄道,野田線,12,4,1,1,,18741
新柏,東武鉄道,野田線,12,4,1,1,,20337
江戸川台,東武鉄道,野田線,12,4,1,1,,24425
